"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"condition";"cyberball_played";"consent";"worker_id";"nt1";"nt2";"nt3";"nt4";"mood";"v_169";"b5_e1_r";"b5_a1";"b5_c1_r";"b5_n1_r";"b5_o1_r";"b5_e2";"b5_a2_r";"b5_c2";"b5_n2";"b5_o2";"excluded";"ignored";"received_tosses";"sex";"occupation";"age";"native";"no_native";"seriousness";"use_data";"use_data_reason";"comments";"task1_1";"task1_2";"task1_3";"task1_4";"task1_5";"task1_6";"task1_7";"task1_8";"task1_9";"task1_10";"task1_11";"task1_12";"task1_13";"task1_14";"task1_15";"task1_16";"task1_17";"task1_18";"task1_19";"task1_20";"task1_21";"task1_22";"task1_23";"task1_24";"task1_25";"task1_26";"task1_27";"task1_28";"task1_29";"task1_30";"task1_31";"task1_32";"task1_33";"task1_34";"task1_35";"task1_36";"task1_37";"task1_38";"task1_39";"task1_40";"task2_1";"task2_2";"task2_3";"task2_4";"task2_5";"task2_6";"task2_7";"task2_8";"task2_9";"task2_10";"task2_11";"task2_12";"task2_13";"task2_14";"task2_15";"task2_16";"task2_17";"task2_18";"task2_19";"task2_20";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6914690";"rts6915068";"rts6915822";"rts6915836";"rts6915840";"rts6915841";"rts6941320";"rts6941323";"rts6941326";"rts6941327";"rts6941335";"rts6941336";"rts6941337";"rts6941339";"rts6941344";"rts6944524";"rts6945204";"rts6945209";"tic"
"16";"0";"0";"31";"6941341";"-77";"11";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/137.2.345735309 Mobile/15E148 Safari/604.1";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6941341";"0";"1";"0";"-77";"-77";"18f8ed3f740da17c7a2c9dac9c76a0f7";"2";"0";"1627472122";"2021-07-28 11:35:22";"2021-07-28 11:35:33";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"-77"
"17";"0";"0";"31";"6900361";"-77";"375";"2";"2";"1";"5a92b4574eecca0001dd251c";"1";"1";"1";"1";"1";"2";"4";"5";"2";"5";"2";"4";"4";"4";"4";"2";"9";"9";"5";"1";"Student";"18";"1";"-77";"7";"2";"-77";"-77";"1";"2";"2";"2";"1";"2";"1";"1";"2";"1";"2";"2";"1";"2";"1";"1";"2";"2";"1";"1";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";"2";"1";"1";"2";"6";"6";"5";"2";"2";"5";"4";"3";"1";"3";"6";"3";"6";"4";"4";"3";"3";"6";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944527,6944528,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"0";"1";"0";"-77";"-77";"9e39a8f799cd621525c78312c4e1ce95";"2";"0";"1627472177";"2021-07-28 11:36:17";"2021-07-28 11:42:32";"0000-00-00 00:00:00";"12";"249";"319";"160";"263";"341";"22";"153";"25";"16";"362";"374";"375";"6";"38";"47";"354";"254";"6e373defd1ab42826e17c8afd3e3c1fd"
"18";"0";"0";"31";"6900361";"-77";"404";"1";"2";"1";"55c0e05efdf99b3953895815";"4";"5";"6";"5";"5";"2";"4";"4";"3";"2";"1";"2";"4";"4";"4";"5";"5";"4";"25";"2";"student";"21";"1";"-77";"6";"2";"-77";"-77";"1";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"2";"1";"2";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"6";"6";"5";"3";"5";"4";"5";"3";"3";"6";"5";"3";"5";"5";"6";"2";"2";"3";"6";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944526,6944527,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"1";"1";"0";"-77";"-77";"4008d0cb330f9491dd3dd3572d971c27";"2";"0";"1627472207";"2021-07-28 11:36:47";"2021-07-28 11:43:31";"0000-00-00 00:00:00";"12";"251";"345";"164";"262";"369";"21";"152";"27";"15";"395";"402";"404";"3";"42";"48";"387";"257";"fba91e7f379f4b1f1b8026e606112cb7"
"19";"0";"0";"31";"6900361";"-77";"1105";"1";"2";"1";"6100b7b2a8eaf5eec5d612d1";"9";"9";"8";"8";"8";"2";"2";"5";"4";"2";"5";"5";"2";"5";"4";"4";"2";"2";"35";"2";"Grocery Store Frontline Worker";"21";"1";"-77";"7";"2";"N/A";"No, but this was very interesting!! ";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"2";"2";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"6";"6";"1";"3";"3";"5";"5";"6";"4";"4";"3";"5";"2";"2";"2";"3";"3";"2";"5";"2";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944526,6944527,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"0";"1";"0";"-77";"-77";"bcaa79bd0d65d739ee9832cb04e4567a";"2";"0";"1627472243";"2021-07-28 11:37:23";"2021-07-28 11:55:48";"0000-00-00 00:00:00";"48";"603";"901";"284";"640";"945";"62";"253";"86";"57";"1051";"1079";"1105";"32";"112";"125";"1011";"622";"1cc15e65c9d1249fdeb37262da2fc4d9"
"20";"0";"0";"31";"6900361";"-77";"694";"2";"2";"1";"60fd6453366b667142774af3";"3";"4";"4";"3";"4";"2";"2";"3";"1";"4";"2";"4";"3";"5";"2";"4";"5";"8";"10";"2";"Speech and Language Therapist";"22";"1";"-77";"7";"2";"-77";"-77";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"2";"1";"2";"1";"1";"2";"2";"1";"2";"2";"2";"1";"2";"1";"2";"1";"1";"1";"2";"2";"2";"1";"3";"5";"6";"3";"3";"5";"6";"6";"5";"2";"2";"3";"5";"3";"6";"5";"4";"2";"2";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944527,6944528,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"1";"0";"0";"-77";"-77";"9e35478bb0a3950fb681dc4e5a884b63";"2";"0";"1627472277";"2021-07-28 11:37:57";"2021-07-28 11:49:31";"0000-00-00 00:00:00";"13";"398";"553";"238";"425";"612";"33";"209";"51";"27";"668";"687";"694";"3";"73";"84";"649";"412";"62f6c2dcedbfd3314e86e51097c7ed6c"
"21";"0";"0";"31";"6900361";"-77";"1221";"2";"2";"1";"60f69599724256f3224d2566";"9";"8";"8";"7";"9";"2";"5";"5";"2";"5";"5";"4";"1";"5";"3";"5";"9";"9";"2";"1";"Manager";"39";"1";"-77";"7";"2";"You can use my data.";"-77";"1";"2";"2";"1";"1";"2";"2";"2";"1";"1";"2";"1";"2";"1";"2";"1";"2";"1";"1";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";"2";"4";"7";"5";"6";"7";"5";"4";"6";"4";"6";"4";"6";"6";"6";"2";"7";"5";"6";"6";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944527,6944528,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"0";"0";"0";"-77";"-77";"0960ada9b3fed65cfd548125dce5da21";"2";"0";"1627472278";"2021-07-28 11:37:58";"2021-07-28 11:58:19";"0000-00-00 00:00:00";"68";"724";"902";"395";"772";"1032";"111";"358";"143";"91";"1124";"1216";"1221";"44";"189";"217";"1079";"747";"b2bb0e290937a9c85cdb45f4fe1d5f0a"
"22";"0";"0";"31";"6900361";"-77";"688";"1";"2";"1";"6100166b8b7de7dbe1ce05dd";"9";"9";"9";"9";"9";"2";"5";"5";"5";"5";"3";"3";"4";"5";"5";"4";"1";"1";"33";"1";"student";"19";"1";"-77";"7";"2";"-77";"-77";"2";"2";"1";"2";"1";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1";"1";"2";"1";"2";"1";"1";"2";"1";"1";"2";"2";"2";"2";"4";"6";"2";"5";"6";"5";"4";"3";"4";"2";"4";"5";"6";"3";"4";"4";"5";"4";"5";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944526,6944527,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"0";"0";"0";"-77";"-77";"a60e46e5bdd2c4ca8f987cd959f181fa";"2";"0";"1627472302";"2021-07-28 11:38:22";"2021-07-28 11:49:50";"0000-00-00 00:00:00";"48";"409";"541";"324";"447";"582";"84";"299";"106";"80";"648";"685";"688";"35";"137";"155";"620";"425";"169211eb23af721fedfd1a77cec7ec92"
"23";"0";"0";"31";"6900361";"-77";"427";"2";"2";"1";"6100b911e1a470c44f54eb15";"5";"4";"3";"3";"2";"2";"1";"5";"3";"2";"1";"5";"3";"4";"4";"4";"8";"8";"5";"1";"Student";"19";"1";"-77";"7";"2";"-77";"-77";"1";"2";"1";"2";"1";"1";"1";"2";"1";"2";"1";"2";"2";"1";"1";"2";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"1";"4";"6";"3";"2";"6";"6";"5";"6";"6";"2";"2";"4";"5";"4";"6";"6";"5";"3";"4";"2";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944527,6944528,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"1";"0";"0";"-77";"-77";"92b2e7bcbad5ce97b4e3ca4044164afe";"2";"0";"1627472309";"2021-07-28 11:38:29";"2021-07-28 11:45:36";"0000-00-00 00:00:00";"14";"278";"370";"164";"292";"389";"25";"155";"29";"19";"416";"425";"427";"7";"40";"47";"405";"284";"675fcef67e579c7c78bbb83fcc77346b"
"24";"0";"0";"31";"6900361";"-77";"566";"1";"2";"1";"60fdc4aabe290881bb47acc1";"8";"6";"6";"6";"8";"2";"4";"5";"5";"5";"3";"3";"3";"4";"4";"2";"7";"6";"28";"2";"administration";"28";"1";"-77";"7";"2";"-77";"Very well thought out questionnaire. Different than others I've seen! Definitely kept my interest (even though that's not that important). Good job";"1";"1";"2";"2";"1";"1";"1";"2";"1";"2";"1";"1";"2";"1";"2";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"1";"2";"2";"2";"1";"2";"1";"2";"2";"1";"2";"1";"2";"1";"2";"5";"4";"3";"2";"2";"6";"5";"5";"2";"2";"4";"3";"6";"5";"3";"3";"5";"5";"5";"5";"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944526,6944527,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"0";"0";"0";"-77";"-77";"23f3bf5d515f4a5a880741535228a6bd";"2";"0";"1627472332";"2021-07-28 11:38:52";"2021-07-28 11:48:18";"0000-00-00 00:00:00";"23";"292";"444";"206";"347";"476";"36";"190";"46";"28";"507";"522";"566";"13";"60";"68";"494";"336";"0f11aedcfce83e37c1209738109082a9"
"25";"0";"0";"31";"6900361";"-77";"610";"2";"2";"1";"610131be0d7d990b88939705";"1";"1";"1";"1";"1";"2";"1";"5";"2";"2";"1";"5";"1";"4";"2";"5";"9";"9";"10";"2";"Manager at recreation center";"21";"1";"-77";"7";"2";"-77";"-77";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"6";"7";"2";"1";"6";"3";"7";"5";"2";"1";"1";"7";"6";"5";"3";"5";"6";"1";"5";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36";"-77";"0";"0";"-77";"0";"0";"0";"0";"0";"0";"0";"-77";"-77";"-77";"-77";"0";"-77";"0";"6941339,6941340,6914690,6914691,6941327,6941328,6941320,6941326,6941344,6944524,6944525,6944527,6944528,6941323,6915836,6915027,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6915068,6945209,6915840,6915821,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915822,6915841,6945204,6941335,6941336,6941337,6900361";"1";"1";"0";"-77";"-77";"e441e09f76a127cbc5f9922555e0bc85";"2";"0";"1627472356";"2021-07-28 11:39:16";"2021-07-28 11:49:26";"0000-00-00 00:00:00";"30";"359";"472";"224";"384";"546";"46";"207";"62";"36";"591";"607";"610";"20";"86";"101";"566";"370";"2ffbe25236573c282d342da860a618db"
